umls	mesh	icd10	level_2_icd10
C0003962	D001201	R18	R18
C0040953	D014256	F63.3	F63
C0036330	D012555	B65.1	B65
C0009186	D003047	B38|B38.9	B38
C0153167	D009494	A52.2	A52
C0270850	C562694	G40.3	G40
C0002395	D000544	G30|G30.9	G30
C0005592	D001716	J67.2	J67
C0030662	D005715	F63.0	F63
C0021832	D007411	B82|B82.9	B82
C0015732	D005242	R15	R15
C0025297	D008587	A87|A87.9	A87
C0019069	D006467	D66	D66
C0022904	D007766	H04|H04.9	H04
C0030528	D010284	A01.4	A01
C0040456	D014095	K01.1	K01
C0017455	D005847	B48.3	B48
C0014378	D004769	B34.1	B34
C0038165	D013206	L00	L00
C0039743	D013796	Q77.1	Q77
C1609433	C536482	Q60.1	Q60
C0027769	D001007	R45.0	R45
C0032238	D011000	B33.0	B33
C0013298	D004382	K29.8	K29
C0265646	D000070558	Q66.1	Q66
C0002940	D000783	I72.9	I72
C0152459	D057896	L90.6	L90
C0014588	D004842	Q64.0	Q64
C0038041	D000073605	A77|A77.9	A77
C0023182	D065634	G96.0	G96
C1735856	D020325	G43.1	G43
C0311375	D020261	T57.0	T57
C0035317	D012166	H35.6	H35
C0155675	C562404	I28.0	I28
C0393519	D013132	G11.1	G11
C0004771	D001474	A44|A44.9	A44
C0039516	D013716	M77.1	M77
C0015944	D005322	O42|O42.9	O42
C0151295	D020422	G58.7	G58
C0024221	D008202	D18.1	D18
C0162820	D017449	L23|L23.9	L23
C0349255	D007319	F51.0	F51
C0242855	D018633	Q22.0	Q22
C0525045	D019964	F30-F39.9|F39	F30-F39|F39
C0346647	D010190	C25|C25.9	C25
C0041428	D014428	Q89.4	Q89
C0009995	D003310	Q24.2	Q24
C0038395	D013290	A49.1	A49
C0023462	D007947	C94.2	C94
C0041969	D014522	N36.9	N36
C0023281	D007896	B55|B55.9	B55
C0154748	D020426	G57.0	G57
C0152025	D011115	G62.9	G62
C0026850	D009136	G71.0	G71
C0023418	D007938	C95|C95.9	C95
C0007222	D002318	I51.6	I51
C0263429	C537412	L66.4	L66
C0036920	D012751	C84.1	C84
C0008445	D002806	Q77.3	Q77
C0006277	D001991	J40	J40
C0033778	D011539	L29.2	L29
C0005686	D001745	N32.9	N32
C0022951	D007787	E73|E73.9	E73
C0021831	D007410	K63.9	K63
C0751937	D020431	G52.0	G52
C0009376	D003111	K63.5	K63
C0160680	D020212	S15.0	S15
C0152427	D017689	Q69|Q69.9	Q69
C0017572	D005889	K06.0	K06
C0011989	D003966	Q78.3	Q78
C0013295	D004381	K26	K26
C0011346	D003741	K03.6	K03
C0019048	D006456	R82.3	R82
C0395887	D063371	H74.0	H74
C0008701	D013981	F95.1	F95
C0001621	D000307	E27.9	E27
C0029882	D010033	H66.9	H66
C0013537	D004461	O15|O15.9	O15
C0001824	D000380	D70	D70
C0038159	D013202	A05.0	A05
C0452143	D010264	G82.0	G82
C0037974	D013145	A69.9	A69
C0276226	D020803	B00.4	B00
C0001973	D000437	F10.2	F10
C0392622	D002252	T53.0	T53
C0012569	D004172	H53.2	H53
C0020615	D007003	E16.2	E16
C0151620	D020343	I67.4	I67
C0149530	C535758	Q24.6	Q24
C0269936	D011645	O85	O85
C0036939	D012753	F24	F24
C0022548	D007627	L91.0	L91
C0030781	D010382	K76.4	K76
C0027726	D009404	N04|N04.9	N04
C0031212	D010554	F60.9	F60
C0023234	D007873	M91.1|M91.2|M91.3	M91
C0002994	D000799	T78.3	T78
C0030491	D010267	L41|L41.9	L41
C0025218	D008548	L81.1	L81
C0017105	D005738	A48.0	A48
C0016382	D005483	R23.2	R23
C0007107	D007822	C32|C32.9	C32
C0020450	D006939	O21	O21
C0016537	D005543	S59.9	S59
C0041466	D014435	A01.0	A01
C0334381	D000071960	D05.0	D05
C0158322	D036982	M77.3	M77
C0015393	D005124	Q15.9	Q15
C0040702	D013981	F95.0	F95
C0030319	D016584	F41.0	F41
C0023290	D007898	B55.0	B55
C0036093	D012466	K11|K11.9	K11
C0020428	D006929	E26|E26.9	E26
C0043167	D014917	A37.0	A37
C0155552	D046089	H90.8	H90
C0040592	D014141	A71|A71.9	A71
C0497327	D003704	F03	F03
C0039133	D013592	A53.0	A53
C0029434	D010013	Q78.0	Q78
C0037650	D013001	F45|F45.9	F45
C0033074	D011304	H91.1	H91
C0011206	D003693	F05.9	F05
C0031880	D010845	E66.2	E66
C0243010	D018792	A86	A86
C0376480	D019214	K06.1	K06
C0036344	D012560	F20.2	F20
C0030920	D010437	K27	K27
C0013456	D004433	H92.0	H92
C0241934	D000087122	F30.0	F30
C0017181	D006471	K92.2	K92
C0043194	D014923	D82.0	D82
C0043124	D014901	A92.3	A92
C0028841	D015814	H44.4	H44
C0023968	D008118	B74.3	B74
C0014527	D004820	Q81|Q81.9	Q81
C0152067	C000656904	B36.1	B36
C3495559	D001171	M08|M08.9	M08
C0001122	D000138	E87.2	E87
C0162818	D017444	L40-L45.9|L44.9	L40-L45|L44
C0037889	D013103	D58.0	D58
C0008677	D029481	J42	J42
C0011334	D003731	K02|K02.9	K02
C0036690	D018805	A41.9	A41
C0016977	D005705	K82.9	K82
C0002173	D000507	L65.2	L65
C0020623	D007009	E78.6	E78
C0014743	D004893	L52	L52
C0263442	D000069316	L70.1	L70
C0024198	D008193	A69.2	A69
C0346627	D007414	C26.0	C26
C0024899	D008415	Q82.2	Q82
C0018965	D006417	R31	R31
C0013069	D004310	Q20.1	Q20
C0023702	D015168	T75.0	T75
C0036337	D011618	F25|F25.9	F25
C0152179	D020421	G52.2	G52
C0031575	D004480	Q73.1	Q73
C0017589	D005896	A24.0	A24
C0004106	D001251	H52.2	H52
C0036508	D012628	L21|L21.9	L21
C0023049	D007816	B83.0	B83
C1263846	D001289	F90|F90.9	F90
C0162386	D006620	S72.2	S72
C0026780	D009107	B26	B26
C0019693	D015658	B20-B24.9|B24	B20-B24|B24
C1330966	D007859	F81.9	F81
C0019572	D006628	L68.0	L68
C0032026	D017515	L42	L42
C0010346	D003424	K50|K50.9	K50
C0346323	D019574	C72.3	C72
C0041349	D009395	N10-N16.9|N15.9	N10-N16|N15
C0009806	D003248	K59.0	K59
C0042842	D014802	E50|E50.9	E50
C0161410	D061227	S04.7	S04
C0020532	D006971	D73.1	D73
C1292772	D054438	C92.2	C92
C0003177	C531621	A22.0	A22
C0020505	D006963	R63.2	R63
C0038218	D013224	J46	J46
C0004134	D001259	R27.0	R27
C0027849	D009459	G21.0	G21
C0037773	D015419	G11.4	G11
C0494475	D012640	G40.6	G40
C0007302	D002357	M91-M94.9|M94.9	M91-M94|M94
C0036117	D012480	A02.9	A02
C0349231	D010698	F40|F40.9	F40
C0153452	D005706	C23	C23
C0011603	D003872	L30.9	L30
C0018817	D006344	Q21.1	Q21
C0023066	D007826	J38.5	J38
C0023381	C538636	C96.0	C96
C0205792	D006547	N81.5	N81
C0002312	D017085	D56.0	D56
C1704330	D009057	K08.9	K08
C0031154	D010538	K65|K65.9	K65
C0268125	C562587	D81.5	D81
C0234996	D020233	R26.1	R26
C0024523	D008286	K90|K90.9	K90
C0037320	D020184	F51.4	F51
C0154778	D047728	H44.2	H44
C0025037	D008467	Q43.0	Q43
C0023308	D007905	H25-H28.9|H27.9	H25-H28|H27
C0015806	D005265	S72.0	S72
C0023434	D015451	C91.1	C91
C0017536	D005873	A07.1	A07
C0152181	D020437	G52.3	G52
C0152244	D017824	M85.5	M85
C0152069	C536591	B67.6|B67.7	B67
C0027765	D009422	G00-G99.9	G00-G99
C0013447	D004427	H93.9	H93
C0039319	D013641	G57.5	G57
C0158360	D000071380	M72.2	M72
C0007894	D002590	B71.9	B71
C0011269	D015140	F01|F01.9	F01
C0085574	C538103	M12.3	M12
C0019103	D006481	A98.1	A98
C1276801	D004887	A26|A26.9	A26
C0042880	D014813	E56.1	E56
C0008049	D002644	B01	B01
C0029899	D010040	H80|H80.9	H80
