umls	icd9cm	icd10	3_digit_icd9cm	level_2_icd10
C0156379	622.3	N88.1	622	N88
C0000774	251.5	E16.4	251	E16
C0043124	066.4|066.40	A92.3	066	A92
C0154286	280.0	D50.0	280	D50
C0158572	743.6	Q10	743	Q10
C1112530	528.6	K13.2	528	K13
C0026106	317	F70	317	F70
C0155176	373.3	H01.1	373	H01
C0156371	621.2	N85.2	621	N85
C0149512	461|461.9	J01|J01.9	461	J01
C0152427	755.0|755.00	Q69|Q69.9	755	Q69
C0496530	871.7	Y61.7	871	Y61
C0016977	575.9	K82.9	575	K82
C0160762	904.42	S85.5	904	S85
C0411169	761.5	P01.5	761	P01
C1292772	205.2	C92.2	205	C92
C3495604	440.2	I70.2	440	I70
C0151779	172|172.9	C43|C43.9	172	C43
C0154207	255.8	E27.8	255	E27
C0149504	349.82	G92	349	G92
C0008711	472.0	J31.0	472	J31
C0035012	099.3	M02.3	099	M02
C0161687	982.0	T52.2	982	T52
C0478014	748.1	Q30.8	748	Q30
C0155171	372.8|372.89	H11	372	H11
C0154055	229.8	D36.7	229	D36
C3662231	762.0	P02.0	762	P02
C0013504	122.8	B67.8	122	B67
C0153452	156.0	C23	156	C23
C0272407	289.59	D73.4	289	D73
C0161007	931	T16	931	T16
C0496137	996	T81.9	996	T81
C0154053	229	D36	229	D36
C0014583	379.00	H15.1	379	H15
C0153646	192.2	C72.0	192	C72
C0260463	V12	Z86	V12	Z86
C0029785	607.8|607.89	N48.8	607	N48
C0008533	286.1	D67	286	D67
C0153509	170|170.9	C40-C41.9|C41.9	170	C40-C41|C41
C0153629	190.4	C69.1	190	C69
C0086588	261	E41	261	E41
C0152244	733.22	M85.5	733	M85
C0010481	255.0	E24|E24.9	255	E24
C0153395	147.2	C11.2	147	C11
C0494362	277.8|277.89	E88.8	277	E88
C0001169	286.7	D68.4	286	D68
C0153323	134.1	B88.2	134	B88
C0260485	V14.1	Z88.1	V14	Z88
C0481121	932.2	Y42.4	932	Y42
C0005694	596.0	N32.0	596	N32
C0020517	995.3	T78.4	995	T78
C0155866	022.1|484.5	A22.1	022|484	A22
C0023484	203.1	C90.1	203	C90
C0155839	478|478.9|478.99	J30-J39.9|J39	478	J30-J39|J39
C0161617	973.6	T47.7	973	T47
C0013604	782.3	R60.9	782	R60
C0001957	291.0	F10.4	291	F10
C0495308	647.2	O98.3	647	O98
C0362065	V25.2	Z30.2	V25	Z30
C0020676	244.9	E03.9	244	E03
C0276253	484.1	B25.0	484	B25
C4282165	785.6	R59|R59.9	785	R59
C0154908	364.0|364.00	H20.0	364	H20
C0206504	384.2|384.20	H72|H72.9	384	H72
C0554634	090.7	A50.7	090	A50
C0026010	743.1|743.10|743.11	Q11.2	743	Q11
C0021364	606|606.9	N46	606	N46
C0032027	696.4	L44.0	696	L44
C0700645	V50.3	Z41.3	V50	Z41
C0153572	181	C58	181	C58
C0085584	348.3|348.30	G93.4	348	G93
C0035021	087|087.9	A68|A68.9	087	A68
C0039437	520.7	K00.7	520	K00
C0009806	564.0|564.00	K59.0	564	K59
C0155778	454	I83	454	I83
C0149627	222.1	D29.0	222	D29
C0085615	426.4	I45.0	426	I45
C0032650	727.51	M71.2	727	M71
C0022568	370|370.9	H16|H16.9	370	H16
C0039494	524.6|524.60	K07.6	524	K07
C0153254	112.81	B37.6	112	B37
C0266368	752.0	Q50.0	752	Q50
C0012558	032.1	A36.1	032	A36
C0398650	287.31	D69.3	287	D69
C0494736	534.9	K28.9	534	K28
C0040428	521.2	K03.1	521	K03
C0015230	782.1	R21	782	R21
C0155001	368.1|368.10	H53.1	368	H53
C1384631	534	K28	534	K28
C0345380	754.1	Q68.0	754	Q68
C0265740	748.1	Q30.1	748	Q30
C4551472	425.11|425.4	I42.1	425	I42
C0154254	273.0	D89.0	273	D89
C3463824	238.75	D46|D46.9	238	D46
C0036472	081.2	A75.3	081	A75
C1145670	518.81	J96.9	518	J96
C0451989	692.71	L55.0	692	L55
C1812614	942.0	T21.0	942	T21
C0034888	569.1	K62.3	569	K62
C4759702	592.9	N20.9	592	N20
C0156724	646.0	O31.0	646	O31
C0700639	750.5	Q40.0	750	Q40
C0271761	241.1	E04.2	241	E04
C0021933	560.0	K56.1	560	K56
C0155734	440.1	I70.1	440	I70
C0154189	251	E16	251	E16
C0266225	751.5	Q43.7	751	Q43
C0154777	360.2|360.20|360.4|360.40	H44.5	360	H44
C0271412	388.69	H92.2	388	H92
C0038525	430	I60|I60.9	430	I60
C0002902	740.0	Q00.0	740	Q00
C0264000	728.79	M72.1	728	M72
C0270088	767.0	P10.4	767	P10
C1306891	V69.0	Z72.3	V69	Z72
C0936250	054.0	B00.0	054	B00
C0019061	283.11	D59.3	283	D59
C0017407	351.1	G51.1	351	G51
C0153436	153.3	C18.7	153	C18
C0155890	495.6	J67.6	495	J67
C0452136	389.06	H90.0	389	H90
C0153400	148.1	C12	148	C12
C0477888	762.5	P02.5	762	P02
C0261858	939.6	Y49.6	939	Y49
C1112532	172.7	C43.7	172	C43
C0600040	595.1	N30.1	595	N30
C0917967	379.4|379.40	H57.0	379	H57
C0149654	312.9	F91|F91.9	312	F91
C0155822	471.1	J33.1	471	J33
C0851326	945.5	Y55.4	945	Y55
C0156312	608.3	N50.0	608	N50
C0178309	779.99	P96	779	P96
C0085622	344.5	G83.3	344	G83
C0546837	150|150.9	C15|C15.9	150	C15
C0029499	993.2	T70.2	993	T70
C0005592	495.2	J67.2	495	J67
C0411164	761.4	P01.4	761	P01
C0549126	V02.60	Z22.5	V02	Z22
C0153504	164.9	C38.3	164	C38
C0495833	901.1	S25.1	901	S25
C0261939	948.8	Y58.9	948	Y58
C0495168	639.1	O08.1	639	O08
C0547030	368|368.9	H53|H53.9	368	H53
C0260747	V53.1	Z46.0	V53	Z46
C1266194	201.4	C81.0	201	C81
C0270163	770.4	P28.0	770	P28
C0391870	790.0	R71	790	R71
C0029812	207|207.8	C94.7	207	C94
C0392037	134.2	B88.3	134	B88
C0156348	617.6	N80.6	617	N80
C0276089	482.82	J15.5	482	J15
C0036857	318.1	F72	318	F72
C0019572	704.1	L68.0	704	L68
C0154019	223.81	D30.4	223	D30
C0026896	358.0	G70.0	358	G70
C3495403	587	N26	587	N26
C0149889	565.1	K60.5	565	K60
C0155970	531.1	K25.1	531	K25
C0263472	705.89	L75.0	705	L75
C0017154	535.1	K29.4	535	K29
C0264227	461.8	J01.4	461	J01
C0016142	312.33	F63.1	312	F63
C0153346	140.6	C00.6	140	C00
C0024003	737.2	M40.5	737	M40
C0152967	038.3	A41.4	038	A41
C0149513	464.1	J04.1	464	J04
C0042850	266|266.9	E53.9	266	E53
C0269993	676.5|676.50	O92.5	676	O92
C0155343	378.8	H51	378	H51
C0017536	007.1	A07.1	007	A07
C0154078	232.4	D04.4	232	D04
C5234914	992.1	T67.1	992	T67
C0158734	755.02	Q69.2	755	Q69
C0260780	V58.2	Z51.3	V58	Z51
C0375326	482.39	J15.4	482	J15
C0154232	264.1	E50.1	264	E50
C0343251	728.1	M61|M61.9	728	M61
C0344225	V45.51	Z97.5	V45	Z97
C0033845	348.2	G93.2	348	G93
C0851140	233.1	D06|D06.9	233	D06
C0494675	507.1	J69.1	507	J69
C0392702	781.0	R25	781	R25
C0235326	455.7	I84.7	455	I84
C0033038	302.75	F52.4	302	F52
C0264490	518.81	J96.0	518	J96
C0158951	772.0	P50|P50.9	772	P50
C0153394	147.1	C11.1	147	C11
C0263926	726.5	M76.1	726	M76
C0477810	639|639.9	O08|O08.9	639	O08
C0348737	556.8	K51.8	556	K51
C0157366	665.5	O71.5	665	O71
C0086692	229.9|229.99	D10-D36.9|D36.9	229	D10-D36|D36
C0005684	188|188.9	C67|C67.9	188	C67
C0014117	425.3	I42.4	425	I42
C0153119	083	A79	083	A79
C0347564	879.0	S21.0	879	S21
C0851225	228	D18	228	D18
C0162674	378.72	H49.4	378	H49
C0152266	201.6	C81.2	201	C81
C0348426	225.2	D32|D32.9	225	D32
C0152935	020.1	A20.1	020	A20
C0034543	522.8	K04.8	522	K04
C0553983	443|443.89	I73	443	I73
C3278433	833	S63.0	833	S63
C0152485	003	A02	003	A02
C0039445	448.0	I78.0	448	I78
C0006267	494	J47	494	J47
C0274845	982.3	T53.2	982	T53
C0546817	276.6	E87.7	276	E87
C0160605	881.01	S51.0	881	S51
C0263421	701.8	L90.4	701	L90
C0156344	617.1	N80.1	617	N80
C0013298	535.6	K29.8	535	K29
C3665588	172.1	C43.1	172	C43
C1971617	V52.2	Z44.2	V52	Z44
C0161553	966.1	T42.0	966	T42
C0275594	023.2	A23.2	023	A23
C0029537	786.59	R07.3	786	R07
C0153132	090.4|090.40	A50.4	090	A50
C0036396	724.3	M54.3	724	M54
C0003175	022|022.9	A22|A22.9	022	A22
C0348773	V65.49	Z71.8	V65	Z71
C0233763	368.16	R44.1	368	R44
C0041952	592.1	N20.1	592	N20
C0496826	188.0	C67.0	188	C67
C0022603	702.1|702.19	L82	702	L82
C0154466	302.76	F52.6	302	F52
C0156004	532.4	K26.4	532	K26
C0013100	125.7	B72	125	B72
C0085096	443.9	I73.9	443	I73
C0178343	V69.99	Z70-Z76.9|Z76	V69	Z70-Z76|Z76
C2745963	716.0|716.00	M12.1	716	M12
C0010200	786.2	R05	786	R05
C0161013	934.0	T17.4	934	T17
C0266339	753.8	Q64.6	753	Q64
C0020302	743.2	Q15.0	743	Q15
C0154215	257.0	E29.0	257	E29
C0263930	726.62	M76.4	726	M76
C0154685	336.1	G95.1	336	G95
C0160996	928.8	T04.3	928	T04
C0040820	121.9	B66.9	121	B66
C0271364	378.31	H50.2	378	H50
C0011608	694.0	L13.0	694	L13
C0011119	993.3	T70.3	993	T70
C0273934	940|940.9	T26.4	940	T26
C0238265	341.8	G37.1	341	G37
C0481234	871.3	Y61.3	871	Y61
C1442839	278.4	E67.3	278	E67
C0030758	132.1	B85.1	132	B85
C0343376	002.2	A01.2	002	A01
C0014078	066.2	A92.2	066	A92
C0023891	571.2	K70.3	571	K70
C0020461	276.7	E87.5	276	E87
C0035613	066.3	A92.4	066	A92
C0033117	607.3	N48.3	607	N48
C0004030	117.3	B44|B44.9	117	B44
C0003962	789.5	R18	789	R18
C4759672	788.99	R30.1	788	R30
C0266542	743.36	Q12.4	743	Q12
C0264769	395.9	I06|I06.9	395	I06
C0271240	369.60	H54.4	369	H54
C0160949	924.00	S70.1	924	S70
C0020579	278.2	E67.0	278	E67
C0413252	991.6	T68	991	T68
C0010414	117.5	B45	117	B45
C0348382	196.8	C77.8	196	C77
C0013902	282.1	D58.1	282	D58
C0152088	721.7	M48.3	721	M48
C0476226	782.0	R20.0	782	R20
C0153382	146|146.9	C10|C10.9	146	C10
C0401094	553.02	K41.2	553	K41
C0154999	367.3	H52.3	367	H52
C0020258	331.5	G91.2	331	G91
C0375046	114.5	B38.2	114	B38
C0025222	578.1	K92.1	578	K92
C0339366	366.45	H26.3	366	H26
C0032807	459.1	I87.0	459	I87
C0477814	671.83	O22.8	671	O22
C0155834	474.8	J35.8	474	J35
C0339436	362.5	H35.3	362	H35
C0346773	172.2	C43.2	172	C43
C0152915	018.0|018.00	A19.2	018	A19
C0039075	755.1	Q70|Q70.9	755	Q70
C0018081	098|098.0	A54|A54.9	098	A54
C0025958	742.1	Q02	742	Q02
C0489951	008.4|008.49	A04.8	008	A04
C0334674	238.7|238.79	C94.4|C94.5	238	C94
C0342068	671.0	O22.0	671	O22
C0011606	695.89|695.9	L26	695	L26
C0302363	023.1	A23.1	023	A23
C0004352	299.0	F84.0	299	F84
C0349578	621.30	N85.0|N85.1	621	N85
C4520843	372.4|372.40	H11.0	372	H11
C0029595	277.2	E79.8	277	E79
C0153261	115.0	B39.4	115	B39
C0015464	351|351.9	G51|G51.9	351	G51
C0041834	695|695.9	L53.9	695	L53
C0040830	083.1	A79.0	083	A79
C0405169	661.1	O62.1	661	O62
C0494735	534.6	K28.6	534	K28
C0043395	060|060.9	A95|A95.9	060	A95
C0375321	478.8	J39.3	478	J39
C0265010	441.1	I71.1	441	I71
C0477973	741.0|741.00	Q05.4	741	Q05
C0156045	534.1	K28.1	534	K28
C0013019	V59.9	Z52.9	V59	Z52
C1541850	447.0	I77.0	447	I77
C0007114	173.90	C44.9	173	C44
C0020578	786.01	R06.4	786	R06
C0497073	942.7	Y52.8	942	Y52
C0154694	342.1|342.10	G81.1	342	G81
C0269661	643.9	O21.9	643	O21
C0034152	287.0	D69.0	287	D69
C0159000	777|777.9	P78.9	777	P78
C0600126	433.1	I65.2	433	I65
C0079745	200.0|202.0	C82.2	200|202	C82
C0032533	725	M35.3	725	M35
C0003090	718.5|718.50	M24.6	718	M24
C0025587	726.70	M77.4	726	M77
C0154141	242.1	E05.1	242	E05
C0152936	020.2	A20.7	020	A20
C0014057	062.0	A83.0	062	A83
C0263989	728.3	M62.3	728	M62
C0869450	719.5	M25.6	719	M25
C0160686	900.81	S15.2	900	S15
C0005283	282.44	D56.1	282	D56
C0263429	701.8	L66.4	701	L66
C0158447	733.02	M81.5	733	M81
C0275842	092|092.9	A51.5	092	A51
C0348168	062.8	A83.8	062	A83
C0156214	575.2	K82.0	575	K82
C0035921	771.0	P35.0	771	P35
C0015632	063.0	A84.0	063	A84
C0019212	572.4	K76.7	572	K76
C0271446	381.4	H65|H65.9	381	H65
C0035585	083.9	A75-A79.9|A79.9	083	A75-A79|A79
C0476414	794.5	R94.6	794	R94
C0151436	287.0|446.2|446.20	M31.0	287|446	M31
C0008354	001|001.0|001.9	A00|A00.9	001	A00
C0029124	377.1|377.10	H47.2	377	H47
C0153474	160.9	C31|C31.9	160	C31
C0036344	295.2	F20.2	295	F20
C0029793	259.8	E34.8	259	E34
C0042582	619.0	N82.0	619	N82
C0155447	383.1	H70.1	383	H70
C0267183	537.6	K31.2	537	K31
C0477458	389.8	H91.8	389	H91
C0795685	349.2	G96.1	349	G96
C0152507	007.8	A07.8	007	A07
C0263921	726.4	M77.2	726	M77
C0274246	932	T17.0	932	T17
C0020569	527.1	K11.1	527	K11
C0263374	697.8	L44.2	697	L44
C0153567	179	C55	179	C55
C0269981	675.1	O91.1	675	O91
C0341966	669.2	O26.5	669	O26
C1971613	V50.2	Z41.2	V50	Z41
C0085315	130.0	B58.2	130	B58
C0477992	744.8|744.89	Q18.8	744	Q18
C0546983	310.2	F07.2	310	F07
C0154692	341|341.8	G37	341	G37
C0261570	876.1	Y65.1	876	Y65
C0494580	410.70	I21.4	410	I21
C0275667	647.1	O98.2	647	O98
C0149823	536.1	K31.0	536	K31
C0041472	081.0	A75.2	081	A75
C0002624	780.93	R41.2	780	R41
C0495719	796.0	R78.7	796	R78
C0155781	455.1	I84.0	455	I84
C0029226	293.82	F06.0	293	F06
C0154260	275|275.9	E83|E83.9	275	E83
C0264439	503	J63.3	503	J63
C0032026	696.3	L42	696	L42
C0477996	746.09	Q22.3	746	Q22
C0347524	227.9	D35.9	227	D35
C0476389	794.0|794.00	R94.0	794	R94
C0178257	259.99	E20-E35.9	259	E20-E35
C0159006	777.6	P78.0	777	P78
C1279296	208.1	C95.1	208	C95
C0154233	264.2	E50.2	264	E50
C0154729	350.2	G50.1	350	G50
C0154009	222.2	D29.1	222	D29
C0302362	023.0	A23.0	023	A23
C0042374	608.83	N50.1	608	N50
C0348378	194.8	C75.8	194	C75
C0004096	493|493.9	J45|J45.9	493	J45
C0038160	V02.59	A49.0	V02	A49
C0542430	077.2	B30.2	077	B30
C0161644	976.4	T49.4	976	T49
C0273433	925.2	S17|S17.9	925	S17
C0019048	791.2	R82.3	791	R82
C0156171	564.3	K91.0	564	K91
C0546952	754.0	Q67.0	754	Q67
C0431639	752.2	Q51.1	752	Q51
C0153398	148|148.9	C13|C13.9	148	C13
C0155466	384.23	H72.2	384	H72
C0156403	626.3	N92.2	626	N92
C0394996	303.0	F10.0	303	F10
C0476556	V05.2	Z26.0	V05	Z26
C0037650	300.8|300.82	F45|F45.9	300	F45
C0153251	112.4	B37.1	112	B37
C0152426	740.1	Q00.1	740	Q00
C0477914	770.82	P28.4	770	P28
C0239296	530.3	K22.2	530	K22
C0158940	770.6	P22.1	770	P22
C0032274	503	J63	503	J63
C0154744	354.3	G56.3	354	G56
C0160950	924.01	S70.0	924	S70
C0153477	160.3	C31.1	160	C31
C0015967	780.60	R50.9	780	R50
C0154805	360.8|360.89	H44.8	360	H44
C0155460	384.00	H73.0	384	H73
C0002876	285.8	D64.4	285	D64
C0178288	599.99	N30-N39.9|N39	599	N30-N39|N39
C0261934	948.2	Y58.2	948	Y58
C0152102	416.1	I27.1	416	I27
C0480147	903	X51	903	X51
C0157636	676.1	O92.1	676	O92
C0152110	355.1	G57.1	355	G57
C0481248	873.2	Y63.2	873	Y63
C0155904	508.8	J70.8	508	J70
C0154002	221.1	D28.1	221	D28
C0340442	423	I31	423	I31
C0345886	154.8	C21.2	154	C21
C2830004	780.09	R40.0	780	R40
C0156357	619	N82	619	N82
C0039263	446.7	M31.4	446	M31
C0477853	660.1	O65.4	660	O65
C0266551	743.46	Q13.0	743	Q13
C0085639	888.9	W00-W19.9|W19	888	W00-W19|W19
C0014860	530.4	K22.3	530	K22
C0032460	256.4	E28.2	256	E28
C0263382	701.1	L87.0	701	L87
C0338970	301.59	F60.3	301	F60
C0155934	522.4	K04.4	522	K04
C0155525	387.1	H80.1	387	H80
C0031115	443.81	I79.2	443	I79
C0154290	281.4	D53.0	281	D53
C0220887	666.1|666.14	O72.1	666	O72
C0007894	123.9	B71.9	123	B71
C0153460	157.2	C25.2	157	C25
C0024633	530.7	K22.6	530	K22
C0265646	754.59	Q66.1	754	Q66
C0010520	782.5	R23.0	782	R23
C0024535	084.0	B50|B50.9	084	B50
C0018799	429.9	I51.9	429	I51
C0699815	783.3	R63.3	783	R63
C0017105	040.0	A48.0	040	A48
C0153091	072.0	B26.0	072	B26
C0478063	755.63	Q65.8	755	Q65
C0001361	463	J03|J03.9	463	J03
C0152210	378.2|378.20	H50.3	378	H50
C0494717	528.9	K13.1	528	K13
C0011269	290.4	F01|F01.9	290	F01
C0154702	344.3	G83.1	344	G83
C0494732	533.6	K27.6	533	K27
C0161019	935.2	T18.2	935	T18
C0153965	213.6	D16.8	213	D16
C0155464	384.21	H72.0	384	H72
C0002395	294.1|331.0	G30|G30.9	294|331	G30
C0149516	473|473.9	J32|J32.9	473	J32
C0154088	233.4	D07.5	233	D07
C0023351	030.1	A30.1	030	A30
C0158674	750.6	Q40.1	750	Q40
C0007193	425.4	I42.0	425	I42
C0158360	728.71	M72.2	728	M72
C0154090	233.6	D07.6	233	D07
C0153957	212.7	D15.1	212	D15
C0161678	980|980.9	T51|T51.9	980	T51
C0040799	958.7	T79.7	958	T79
C0751560	146.0	C09|C09.9	146	C09
C0041296	018.99	A15-A19.9	018	A15-A19
C0161714	987.3	T59.1	987	T59
C0159054	786.4	R09.3	786	R09
C0030593	363.21	H30.2	363	H30
C0158820	761.3	P01.3	761	P01
C0154690	337.0	G90.0	337	G90
C0023467	205.0	C92.0	205	C92
C0153458	157.0	C25.0	157	C25
C0156366	620.8	N83.8	620	N83
C0085695	535.1	K29.5	535	K29
C0269608	641.9|641.93	O46.9	641	O46
C0152151	651.1	O30.1	651	O30
C0161002	930.0	T15.0	930	T15
C0496872	211.7	D13.7	211	D13
C0260469	V12.5	Z86.7	V12	Z86
C0154700	344	G83	344	G83
C0261678	910	W65-W74.9	910	W65-W74
C0042075	599.9	N39.9	599	N39
C0270171	770.7	P27.0	770	P27
C0158977	774.5	P59	774	P59
C0161354	948.6	T31.6	948	T31
C0155742	442.1	I72.2	442	I72
C0478071	755.6|755.69	Q74.2	755	Q74
C0431319	741.03	Q05.2	741	Q05
C0026635	784.99	R06.5	784	R06
C0003886	728.3	Q74.3	728	Q74
C0264912	426.2	I44.4	426	I44
C0040249	111.2	B36.2	111	B36
C0264743	390	I00	390	I00
C0152107	411.0	I24.1	411	I24
C0495107	624.02	N90.1	624	N90
C0400832	569.41	K62.6	569	K62
C0011615	691.8	L20|L20.9	691	L20
C0750952	156.9	C24.9	156	C24
C0685874	744.05	Q16.5	744	Q16
C0014591	784.7	R04.0	784	R04
C0478576	V53.09	Z46.2	V53	Z46
C0161626	974.5	T50.3	974	T50
C0152086	716.1|716.10	M12.5	716	M12
C0155557	391.2	I01.2	391	I01
C0235660	611.6	N64.3	611	N64
C0008312	571.6	K74.3	571	K74
C0026393	078.0	B08.1	078	B08
C0599986	V26.33	Z31.5	V26	Z31
C0161841	876.0|999.80	Y65.0	876|999	Y65
C0481525	V67.4	Z09.4	V67	Z09
C0030486	344.1	G82.2	344	G82
C0496773	150.0	C15.0	150	C15
C0040264	388.3|388.30	H93.1	388	H93
C0003892	713.5	M14.6	713	M14
C0153373	145.0	C06.0	145	C06
C0156264	594|594.9	N21|N21.9	594	N21
C1704330	525.9	K08.9	525	K08
C0232286	786.51	R07.2	786	R07
C0152099	576.0	K91.5	576	K91
C0270103	767.5	P11.3	767	P11
C0851328	948.0	Y58.0	948	Y58
C0392477	754.61	Q66.5	754	Q66
C0494158	189.0	C64	189	C64
C0270108	767.6	P14.1	767	P14
C0040750	V42.4	Z94.6	V42	Z94
C0265566	755.2|755.20	Q71|Q71.9	755	Q71
C0751908	078.81|386.12	A88.1|H81.2	078|386	A88|H81
C0154094	234.0	D09.2	234	D09
C0270222	775.3	P72.1	775	P72
C0010418	007.4	A07.2	007	A07
C0036349	295.3|295.30	F20.0	295	F20
C0155367	379.22	H43.2	379	H43
C0264767	394.2	I05.2	394	I05
C0475713	770.3	P26|P26.9	770	P26
C0262030	968.8	Y08	968	Y08
C0158370	729|729.9|729.99	M70-M79.9	729	M70-M79
C0154901	363.6	H31.3	363	H31
C0024221	228.1	D18.1	228	D18
C0158797	759.1	Q89.1	759	Q89
C0276774	007.9	A07.9	007	A07
C0153120	083.8	A79.8	083	A79
C0158728	754.69	Q66.6	754	Q66
C0029804	287.8	D69.8	287	D69
C0154828	361.81	H33.4	361	H33
C0495173	639.2	O08.6	639	O08
C0019521	786.8	R06.6	786	R06
C0153378	145.5	C05|C05.9	145	C05
C0481263	876.9	Y60-Y69.9|Y69	876	Y60-Y69|Y69
C0268329	277	E88	277	E88
C0869095	744.9	Q18.9	744	Q18
C3714757	714.30	M08.0	714	M08
C0013395	536.8	K30	536	K30
C0006057	005.1	A05.1	005	A05
C0012767	520.6	K00.6	520	K00
C0265671	717.5	M23.1	717	M23
C0153423	151.6	C16.6	151	C16
C0160986	928.0	S77|S77.2	928	S77
C0156194	573	K76	573	K76
C0339129	375.3	H04.3	375	H04
C0157734	704.3	L67.1	704	L67
C0001144	706.1	L70.0	706	L70
C0261778	931.5	Y41.3	931	Y41
C0542408	072.2	O81.1	072	O81
C0156245	589.0	N27.0	589	N27
C0271225	369.10	H54.1	369	H54
C0332686	949.1	T30.1	949	T30
C0158992	776.2	P60	776	P60
C1261278	595.3	N30.3	595	N30
C0153188	097.0	A52|A52.9	097	A52
C0152239	748.61	Q33.4	748	Q33
C0085084	335.2	G12.2	335	G12
C0153479	160.5	C31.3	160	C31
C0008712	473.3	J32.3	473	J32
C0029443	730.2|730.20	M86|M86.9	730	M86
C0261835	937.3	Y47.4	937	Y47
C0411160	761.1	P01.1	761	P01
C0153406	149.1	C14.2	149	C14
C0345875	230.4	D01.1	230	D01
C0040953	307.9|312.39	F63.3	307|312	F63
C0041301	017.9|017.90	A18.8	017	A18
C0156268	595.2	N30.2	595	N30
C0010678	123.1	B69|B69.9	123	B69
C0154725	349	G90-G99.9	349	G90-G99
C1305122	441.6	I71.5	441	I71
C0261785	932.1	Y42.7	932	Y42
C0156278	597.0	N34.0	597	N34
C0158441	732.2	M93.0	732	M93
C0161716	987.5	T59.3	987	T59
C0156092	540.0	K35.0	540	K35
C0473508	666.2|666.20|666.24	O72.2	666	O72
C0260471	V12.7	Z87.1	V12	Z87
C0018834	787.1	R12	787	R12
C0006145	611.9|612.99	N60-N64.9|N64.9	611|612	N60-N64|N64
C0034088	424.3	I37.1	424	I37
C0260597	V28.5	Z36.5	V28	Z36
C0154275	279.02	D80.4	279	D80
C0496827	188.1	C67.1	188	C67
C0157552	673.2|673.20	O88.2	673	O88
C0152445	575.3	K82.1	575	K82
C0038379	378.30|378.9	H50.9	378	H50
C0497327	290|294.2|294.20	F03	290|294	F03
C0156102	550.02	K40.1	550	K40
C0261940	948.9	Y58.8	948	Y58
C0260830	V66.4	Z54.4	V66	Z54
C0153964	213.5	D16.1	213	D16
C0496924	236.4	D40.1	236	D40
C0155789	456.0	I85.0	456	I85
C0161497	961.0	T37.0	961	T37
C0155860	482.1	J15.1	482	J15
C0266929	523.4|523.40	K05.3	523	K05
C0339058	374.0	H02.0	374	H02
C0041233	086.4	B56.1	086	B56
C0023075	478.74	J38.6	478	J38
C1275806	664.3|664.31	O70.3	664	O70
C0022893	386.3|386.30	H83.0	386	H83
C0362049	848.9	V01-V99.9|V99	848	V01-V99|V99
C0263485	704.2	L67.0	704	L67
C0009421	780.01	R40.2	780	R40
C0020224	657|657.0	O40	657	O40
C0156185	569.5	K63.0	569	K63
C0029632	282.7	D58.2	282	D58
C0153420	151.3	C16.1	151	C16
C0235833	756.6	Q79.0	756	Q79
C0496770	148.3	C13.2	148	C13
C0155829	474.1|474.10	J35.3	474	J35
C0153951	212.0	D14.0	212	D14
C0030756	132.9	B85.2	132	B85
C0342257	250.9	E14.8	250	E14
C0013592	374.1|374.10	H02.1	374	H02
C0154237	264.6	E50.6	264	E50
C0001163	388.5	H93.3	388	H93
C0001940	291.1	F10.6	291	F10
C1288279	354.2	G56.2	354	G56
C0242429	462|784.1	R07.0	462|784	R07
C0152095	758.1	Q91.7	758	Q91
C0012739	286.6	D65	286	D65
C0155555	391.0	I01.0	391	I01
C0155567	395.0	I06.0	395	I06
C0161442	953.0	S14.2	953	S14
C0155164	372.6|372.64	H11.2	372	H11
C0155926	521|521.9	K03.9	521	K03
C0261928	947.3	Y57.3	947	Y57
C0029458	733.01	M81.0	733	M81
C0029754	123.8	B71.8	123	B71
C0038355	537.1	K31.4	537	K31
C0014527	757.39	Q81|Q81.9	757	Q81
C0026691	446.1	M30.3	446	M30
C0153515	170.5	C40.1	170	C40
C0261794	933	Y43	933	Y43
C0162836	705.83	L73.2	705	L73
C0162849	697.1	L44.1	697	L44
C0030757	132.0	B85.0	132	B85
C0026764	203.0	C90.0	203	C90
C0002447	755.4	Q73.0	755	Q73
C0158646	749|749.2|749.20	Q35-Q37.9|Q37	749	Q35-Q37|Q37
C0023241	482.84	A48.1	482	A48
C0022411	718.1|718.10	M24.0	718	M24
C0153178	095.2	K67.2	095	K67
C0017412	608.9|608.99	N40-N51.9|N50.9	608	N40-N51|N50
C0242855	746.01	Q22.0	746	Q22
C0155509	386.4|386.40	H83.1	386	H83
C0153333	137.3	B90.2	137	B90
C0405581	257|257.9	E29|E29.9	257	E29
C0032231	511|511.0	R09.1	511	R09
C0155964	529.4	K14.4	529	K14
C0153361	142.2	C08.1	142	C08
C0036980	785.51	R57.0	785	R57
C0001080	756.4	Q77.4	756	Q77
C0156318	610.3	N60.3	610	N60
C0153565	176.5	C46.3	176	C46
C0027066	333.2	G25.3	333	G25
C0026034	744.84	Q18.5	744	Q18
C0162644	521.08	K02.2	521	K02
C0024523	579|579.9	K90|K90.9	579	K90
C0153464	158	C48	158	C48
C0026946	118.99	B35-B49.9|B49	118	B35-B49|B49
C1318533	289.0	D75.1	289	D75
C0156097	543.0	K38.0	543	K38
C0481259	876.2	Y65.2	876	Y65
C0261594	879.6	Y84.6	879	Y84
C0000786	634|761.8	O03	634|761	O03
C0034362	083.0	A78	083	A78
C0157707	686	L08	686	L08
C0086227	127.4	B80	127	B80
C0006288	748.5	Q33.2	748	Q33
