umls	icd9cm	icd10	3_digit_icd9cm	level_2_icd10
C0154089	233.5	D07.4	233	D07
C0043346	757.33	Q82.1	757	Q82
C0496833	190.0	C69.4	190	C69
C0020683	785.59	R57.1	785	R57
C0481355	929.1	Y85.9	929	Y85
C0001621	255|255.9	E27.9	255	E27
C0024419	273.3	C88.0	273	C88
C0677519	928.2	W43	928	W43
C0261903	945	Y55	945	Y55
C0029713	765.1|765.10	P07.3	765	P07
C0274287	992|992.9	T67|T67.9	992	T67
C0155683	421	I33	421	I33
C0009774	077.99	B30|B30.9	077	B30
C0014061	063|063.9	A84|A84.9	063	A84
C0153638	191.4	C71.4	191	C71
C0004576	088.82	B60.0	088	B60
C0265553	755.10	Q70.4	755	Q70
C0392501	534.3	K28.3	534	K28
C0025469	289.2	I88.0	289	I88
C0155616	405|405.9	I15|I15.9	405	I15
C0260767	V55.7	Z43.7	V55	Z43
C0152944	021.3	A21.1	021	A21
C0156367	620|620.9	N83|N83.9	620	N83
C0040963	397.0	I07.0	397	I07
C0085677	357.5	G62.1	357	G62
C0161647	976.7	T49.7	976	T49
C0497026	988.1	T62.0	988	T62
C0159015	778.6	P83.5	778	P83
C0013404	786.05	R06.0	786	R06
C0152250	453.1	I82.1	453	I82
C0023569	746.87	Q24.1	746	Q24
C0401080	550.12	K40.0	550	K40
C0002171	704.01	L63|L63.9	704	L63
C0032249	280.8	D50.1	280	D50
C0020451	643.0	O21.0	643	O21
C0271985	282.45	D56.2	282	D56
C0024796	759.82	Q87.4	759	Q87
C0452153	389.22	H90.6	389	H90
C0023968	125.2	B74.3	125	B74
C0410502	732.1	M91|M91.9	732	M91
C0038013	720.0	M45	720	M45
C0851330	930.2	Y40.2	930	Y40
C0152159	661.0	O62.0	661	O62
C0159060	787.5	R19.1	787	R19
C0022548	701.4	L91.0	701	L91
C0024433	744.83	Q18.4	744	Q18
C0041341	759.5	Q85.1	759	Q85
C0005586	296.80	F31|F31.9	296	F31
C0263449	695.3	L71.0	695	L71
C0152069	122.7	B67.6|B67.7	122	B67
C0260344	V01.4	Z20.4	V01	Z20
C0392622	982.1	T53.0	982	T53
C0266306	753.3	Q63.3	753	Q63
C0029694	733.09	M81.8	733	M81
C0155730	437.3	I67.1	437	I67
C0155727	433|433.9	I65.9	433	I65
C0154780	360.29	H44.3	360	H44
C0156401	625	N94	625	N94
C0481197	944.2	Y54.2	944	Y54
C0264886	426|426.9	I45.9	426	I45
C0029001	125.3	B73	125	B73
C0155087	370.5	H16.3	370	H16
C0153613	188.5	C67.5	188	C67
C0260785	V59.1	Z52.1	V59	Z52
C0031154	567.9	K65|K65.9	567	K65
C0153245	104	A69	104	A69
C0477986	743.8	Q15.8	743	Q15
C0155949	525.0	K08.0	525	K08
C0024198	088.81	A69.2	088	A69
C0158617	746.4	Q23.1	746	Q23
C0152958	036.4|036.40	A39.5	036	A39
C0261936	948.4	Y58.4	948	Y58
C0025294	036.0	A39.0	036	A39
C0155782	455.2	I84.1	455	I84
C0153560	176.0	C46.0	176	C46
C0014544	345.9	G40|G40.9	345	G40
C0156358	619.2	N82.5	619	N82
C0019123	511.89	J94.2	511	J94
C0152497	005.4	A05.3	005	A05
C0085594	780.60	R50.0	780	R50
C0266909	522.7	K04.6	522	K04
C0496820	182.0	C54.2	182	C54
C0277356	134.1	B88.1	134	B88
C0030353	377.0|377.00|377.31	H47.1	377	H47
C0347509	225.9	D33.9	225	D33
C0152506	007	A07	007	A07
C0153979	215.6	D21.5	215	D21
C3495801	446.4	M31.3	446	M31
C0038034	117.1	B42|B42.9	117	B42
C0027611	771.6	P39.1	771	P39
C0702143	378.81	H51.0	378	H51
